Name of the school,Addition,Subtraction,Multiplication,Division
GOVT.HIGHER PRIMARY SCHOOL KANUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KANUR,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KANUR,0,0,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,0,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL HANCHINAL U,0,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,0,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,0,1,0,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,0
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,1,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,1,0,1
GOVT.HIGHER PRIMARY SCHOOL KOLABAL,1,0,1,1
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,0,1,1
GHPS MANCHANABALE,1,1,1,1
GHPS MANCHANABALE,1,0,0,1
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,0,0,1
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,1,1
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,0,0,0
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,1,0
GHPS MANCHANABALE,1,1,1,1
GHPS MANCHANABALE,1,1,0,0
GHPS MANCHANABALE,1,0,0,0
GHPS MANCHANABALE,0,1,0,1
GHPS MANCHANABALE,1,1,0,1
GHPS MANCHANABALE,1,1,1,1
GHPS GUNDLAGURKI,1,1,0,0
GHPS GUNDLAGURKI,0,0,0,0
GHPS GUNDLAGURKI,1,0,0,1
GHPS GUNDLAGURKI,0,0,0,0
GHPS GUNDLAGURKI,0,0,0,0
GHPS GUNDLAGURKI,1,1,0,1
GHPS GUNDLAGURKI,0,0,0,0
GHPS GUNDLAGURKI,1,0,0,0
GHPS GUNDLAGURKI,1,1,0,1
GLPS. SABBENAHALLY,1,1,0,0
GLPS. SABBENAHALLY,0,0,0,0
GLPS. SABBENAHALLY,1,1,0,1
GLPS. SABBENAHALLY,1,1,0,0
GLPS. SABBENAHALLY,1,1,1,1
GLPS. SABBENAHALLY,1,1,1,1
GLPS. SABBENAHALLY,1,1,0,0
GLPS PUTTATHIMMANAHALLI,1,1,0,1
GLPS PUTTATHIMMANAHALLI,1,1,0,0
GLPS PUTTATHIMMANAHALLI,1,1,1,0
GLPS PUTTATHIMMANAHALLI,1,1,0,1
GLPS PUTTATHIMMANAHALLI,0,0,0,0
